id,steps,order
324047,"the second time i made it , i used low fat mayonnaise , and i added one teaspoon garlic powder , and 1 / 4 teaspoon black pepper",5
324047,"i found the taste better , and there wasn't an inch of grease on top of the dip when it came out of the oven",6
18766,"heat a nonstick griddle over a low to medium flame , and place the bread slice on it",1
18766,let it just lie there for about a minute,2
18766,"now carefully cover the bread with the sliced banana discs , overlapping if necessary , and sprinkle the cinnamon over this",3
18766,"using a flat spoon or ladle , gently press the bread slice with with back-to-front movements",4
18766,"when the bottom of the bread slice is well browned , remove from the griddle and eat immediately !",5
448832,spread pie filling evenly in a lightly greased 13 x 9 baking pan,1
448832,sprinkle dry cake mix over filling,2
448832,drizzle with melted butter,3
448832,"bake at 350 for 20 minutes , or until topping is golden",4
448832,let cool for 5 minutes before serving,5
528364,combine peanut butter & honey in saucepan over medium low heat and melt to combine,1
528364,stir in oats,2
528364,press into a pan that is lined with foil and sprayed,3
528364,refrigerate 6 hours or overnight,4
528364,cut block of granola into bars and store in airtight container in fridge for 1 week,5
269156,remove the zest from the lemon with a fine-tooth grater or a zester,1
269156,"if removed with a zester , chop finely",2
269156,"squeeze the juice from the lemon and combine with the zest , olive oil , and cracked pepper",3
269156,season to taste with salt,4
269156,"use as a marinade for grilled chicken , ribs , fish , roasts or chops",5
206585,preheat the oven to 325 degrees,1
206585,"beat cream cheese , sugar , and vanilla with an electric mixer on medium speed until well blended",2
206585,add eggs,3
206585,mix until just blended,4
206585,pour into the crust,5
206585,bake 40 minutes or until center is almost set,6
206585,cool,7
206585,refrigerate 3 hours or overnight,8
206585,store leftovers in refrigerator,9
155496,stab the potato with a fork several times and wrap in a paper towel,1
155496,"place in a microwave on high for 8 minutes , turning half way through",2
155496,remove from microwave and brush with olive oil,3
155496,then place in a pre-heated 200 c oven for 15 minutes,4
155496,remove from oven and slice with a cross,5
155496,add butter or other toppings as desired,6
59050,preheat oven to 375f,1
59050,lightly grease a 9x9-inch baking pan,2
59050,place a layer of cookies on the bottom of the dish,3
59050,crumble remaining cookies and set aside,4
59050,"open peaches and drain , reserving syrup",5
59050,"mix the peaches with half of the crumbled cookies and spoon evenly over the cookies in the baking dish and pour 3 / 4 cup of the reserved liquid over the top mix together the remaining cookie crumbs , the butter , sugar and cinnamon and sprinkle over peaches and press down gently",6
59050,bake for 30 minutes,7
59050,let rest for 15 minutes before serving,8
145473,"boil potatoes in salted water until tender , about 12 minutes",1
145473,drain potatoes and pour them into a bowl,2
145473,"combine sour cream , egg yolk and cream",3
145473,add the cream mixture into potatoes and mash until potatoes are almost smooth,4
145473,"while potatoes boil , preheat a large skillet over medium high heat",5
145473,add oil to hot pan with beef or lamb,6
145473,season meat with salt and pepper,7
145473,brown and crumble meat for 3 or 4 minutes,8
145473,"if you are using lamb and the pan is fatty , spoon away some of the drippings",9
145473,add chopped carrot and onion to the meat,10
145473,"cook veggies with meat 5 minutes , stirring frequently",11
145473,in a second small skillet over medium heat cook butter and flour together 2 minutes,12
145473,whisk in broth and worcestershire sauce,13
145473,thicken gravy 1 minute,14
145473,add gravy to meat and vegetables,15
145473,stir in peas,16
145473,preheat broiler to high,17
145473,fill a small rectangular casserole with meat and vegetable mixture,18
145473,spoon potatoes over meat evenly,19
145473,top potatoes with paprika and broil 6 to 8 inches from the heat until potatoes are evenly browned,20
145473,top casserole dish with chopped parsley and serve,21
9518,put the cheese between the two slices of bread and microwave for 30 seconds,1
154224,preheat oven to 350 degrees,1
154224,place 1 / 2 of the ravioli in a greased 8x8 glass dish,2
154224,pour half of the sauce on and stir until mixed well,3
154224,make sure ravioli are spread evenly over dish,4
154224,place pepperoni slices in a single layer over ravioli and sauce,5
154224,sprinkle parmesan cheese evenly over entire dish,6
154224,place remaining ravioli in single layer on top of cheese,7
154224,"spoon remaining sauce over ravioli , making sure ravioli are well-coated",8
154224,place remaining pepperoni in a single layer on top of ravioli and sauce,9
154224,sprinkle mozarella over top,10
154224,cover dish and bake for 30 minutes,11
154224,"if covering with foil , you can keep the cheese from sticking to it by baking dish for 25 minutes before adding mozarella and then baking for 5 minutes or until cheese is melted",12
145831,peel and cut potatoes and boil until tender,1
145831,cut up bacon into bite sized bits and fry in skillet,2
145831,remove bacon & set aside when it is slightly crisp,3
145831,saute onions in bacon fat until translucent,4
145831,remove & set aside,5
145831,saute mushrooms until slightly golden,6
145831,remove & set aside,7
145831,"when potatoes are tender , drain and mash",8
145831,"add butter , milk and sour cream to mash in with potatoes",9
145831,add in all sauted ingredients and the cheese,10
145831,stir into mashed potatoes then transfer to a casserole dish,11
145831,bake for 45 minutes at 350 degrees,12
145831,throw away any diet plans and serve,13
205712,"mix sugar , cornstarch & salt",1
205712,gradually mix in the fruit juices & stir to combine,2
205712,"cook in top of double boiler over simmering water for 20 min , stirring often",3
205712,remove 1 / 4 cup of hot mixture & whisk into beaten eggs,4
205712,return mixture to pan & cook 5 min more,5
205712,beat hot mixture into cream cheese & refrigerate till well-chilled,6
205712,"hmmm , i am already past that 4 in 1 #",7
205712,i will stop now or i will get totally out of control,8
205712,:-),9
301835,"in a mixing bowl , combine flour , sugar , and butter with a pastry cutter until it forms crumbles about half the size of a pea",1
301835,pour the can of peaches into your baking pan and sprinkle flour mixture evenly over the top,2
301835,"this recipe does take about 45 minutes to bake , just keep watch for the juices to start bubbling and the top to brown",3
301835,bake at 350,4
301835,sorry i forgot to add that in !,5
483632,"in a bowl , combine all ingredients but the tomatoes",1
483632,cut each tomato into 4-5 slices so they are not thin,2
483632,spread each slice with 1 tbs of cheese mixture,3
483632,place on ungreased baking sheet and broil 3 inches from heat for 3-5 minutes or until cheese melts and is golden brown in color,4
153800,"mix tomatoes , chicken broth , butter , sugar , onions and soda",1
153800,simmer over low heat for 1 hour,2
153800,heat cream in a double boiler,3
153800,add cream to hot tomato mixture and serve,4
459273,hull and halve 29 large strawberries and set them aside,1
459273,arrange 30 large blackberries in the upper left corner of a serving tray or cutting board,2
459273,"cut 58 banana slices , 3 / 4-inch-thick , into a bowl",3
459273,sprinkle on lemon juice and toss the slices gently with a rubber spatula to keep them from browning,4
459273,assemble the banana slices in rows to resemble a flag and top each slice with a strawberry half,5
170981,microwave sweet potato until soft,1
170981,scoop out pulp and put in blender,2
170981,peel orange and add to blender,3
170981,"add banana , chopped carrot , and orange juice",4
170981,blend until smooth and creamy,5
170981,add ice cubes and water until desired thickness is achieved,6
170981,pour into glass and enjoy !,7
338753,spread whipped butter on sourdough bread,1
338753,pat the butter side in the grated parmesan cheese,2
338753,place both bread pieces in a skillet or on a griddle,3
338753,put 1 slice of swiss and provolone on 1 slice of bread and 1 slice of mozzarella and cheddar on the other,4
338753,cook until parmesan it toasted,5
338753,place sandwich slices together and enjoy !,6
323262,"in a dutch oven , cook beef over medium heat until no longer pink",1
323262,drain,2
323262,stir in the remaining ingredients,3
323262,bring to a boil,4
323262,reduce heat,5
323262,"simmer , uncovered for 10 minutes",6
432077,"put noodles in salted boiling water , if you use the right smaller kind they should take 3 minutes to be ready",1
432077,"in the meanwhile , get a bowl and crack the egg in it",2
432077,"drain the noodles when ready and inmediately place in the bowl , stir",3
432077,add the butter and parmesan cheese,4
432077,stir again,5
432077,enjoy,6
257084,drain the beans,1
257084,pour everything except for the cheese into a blender,2
257084,blend until the mix is smooth,3
257084,pour into a microwave safe bowl,4
257084,"cover and cook on high for 3 minutes , stirring once",5
257084,add cheese to the top while the dip is hot,6
257084,allow to cool for 5 minutes and serve,7
274746,wash and cube the potato,1
274746,"put the extra virgin olive oil , garlic , salt and pepper on top and mix together well , so that each peace gets an even amount",2
274746,microwave for 1 minute and 15 seconds,3
274746,add butter and cheese,4
274746,microwave for another 15 seconds,5
31984,place strawberries and sugar in food processor,1
31984,"process until finely chopped , scraping bowl occasionally",2
31984,with processor running slowly add cream,3
31984,process until mixture is smooth and creamy,4
31984,serve immediately or freeze in a airtight container up to two weeks,5
31984,try using frozen peaches or blueberries in place of strawberries,6
309594,brown meat and onion,1
309594,"stir in seasonings , soup , tomatoes and rice",2
309594,you may need a little bit of extra water if using brown instant rice,3
309594,"bring to a boil , and then reduce the heat",4
309594,"simmer for 5 to 10 minutes , stirring occasionally , until rice is cooked",5
309594,serve with sliced olives,6
309594,salt and pepper to taste,7
201750,boil balsamic and red wine vinegar and strawberries,1
201750,reduce by 3 / 4,2
201750,"add sugar , diced onion and parsley",3
201750,simmer 10-15 minutes and cool,4
201750,"when cooled , gradually whisk in the oil",5
345089,preheat broiler,1
345089,"combine all ingredients , except butter and flour",2
345089,bring to a boil,3
345089,reduce heat and simmer 5 minutes,4
345089,blend melted butter with the flour to make a roux,5
345089,add roux to the corn and mix well,6
345089,remove from heat,7
345089,pour into a casserole dish,8
345089,sprinkle with parmesan cheese,9
345089,broil until cheese is nicely browned,10
385071,preheat oven to 375 degrees fahrenheit,1
385071,spray 8 muffin tins with vegetable spray,2
385071,"layer potato slices , cheese , and onions into each muffin cup",3
385071,season with salt and pepper,4
385071,top each gratin with 1 or 2 tablespoons of heavy cream,5
385071,cover with foil,6
385071,"bake for 30 to 40 minutes , removing the foil halfway through cooking time",7
385071,invert gratins onto plate and serve,8
166476,arrange lettuce in bottom of glass serving bowl or on serving plate,1
166476,"layer beans , corn , salsa and cheese evenly over top",2
166476,drizzle with dressing,3
166476,sprinkle with chips,4
166476,you can change the cheese and beans to your favorites,5
301951,mix berries and sugar in 6-cup microwave-proof bowl,1
301951,microwave uncovered on high 6 minutes,2
301951,let cool slightly,3
301951,transfer to jar and refrigerate covered,4
301951,for blueberry jam: puree 1-1 / 2 cups fresh blueberries and mix with 1 / 4 cup sugar,5
301951,proceed as above,6
301951,for peach jam: pit and coarsely puree 2 medium or 3 small ripe peaches,7
301951,mix with 1 / 4 cup sugar,8
301951,proceed as above,9
301951,for strawberry jam: coarsely puree 1-1 / 2 cups hulled fresh strawberries,10
301951,mix with 1 / 4 cup sugar,11
301951,proceed as above,12
301951,for blackberry jam: puree 1-3 / 4 cups fresh blackberries,13
301951,mix with 1 / 4 cup sugar,14
301951,proceed as above,15
301951,"for citrus marmalade: quarter , seed , and coarsely puree 1 each medium lemon and lime",16
301951,mix with 3 / 4 cup sugar,17
301951,proceed as above,18
250024,preheat oven to 350f,1
250024,"sift together sugar , nutmeg , and cinnamon very well",2
250024,"add egg and peanut butter , mix thoroughly",3
250024,mixture should be very moist,4
250024,add the flour and mix thoroughly,5
250024,"roll into balls and place on cookies sheet , leaing about an inch in between each cookie",6
250024,"bake for 15-20 minutes , checking every so often and touching the top of the cookie with a spoon",7
250024,they are done when touching the top shows has no effect on the cookie,8
250024,eat with milk or alone,9
250024,i recommend eating them when they are still warm,10
250024,so good -- >3<,11
204114,peel and slice the bananas,1
204114,wash and cut off the tops of the strawberries,2
204114,put into the blender with the milk and yogurt and whirl away,3
204114,you can also do variations of this:,4
204114,"apples: instead of yogurt and milk , add 1 / 2 cup apple juice , 1 cup crushed ice and 1 tablespoon honey",5
204114,m&m powered: use only 1 / 2 cup milk and substitute 1 / 2 cup vanilla ice cream for the yogurt,6
204114,then add a handful of crushed ice and a small bag of m&ms -- yummy !,7
223242,whisk all ingredients together,1
223242,toss with quartered tomatoes and fresh mozzarella cubes,2
223242,can also add celery and green onions,3
124597,mix everything except asparagus and set aside,1
124597,"cut one inch off the bottom of the asparagus , or trim with a veggie peeler",2
124597,"in a shallow 9 inch casserole dish , place the asparagus in the dish and cover with the above marinade",3
124597,let sit one to three hours,4
124597,prepare the grill for the direct heat method,5
124597,grill the asparagus using a medium-hot temperature and baste with the marinade frequently,6
124597,grill for no more than six minutes,7
124597,mushy asparagus is ickkkyyy,8
327059,place eggs in a single layer in a large saucepan,1
327059,"add cold water , filling the pan to 1 inch above eggs",2
327059,cover,3
327059,bring to a boil over hight heat,4
327059,"remove pot from heat and let stand , covered , until the eggs are hard-boiled , about 15 minutes",5
327059,place eggs under cold running water,6
327059,peel eggs,7
327059,cut in half,8
327059,"using a spoon , remove yolks",9
327059,"in a blender , combine yolks , , mayonnaise , green onion , sun-dried tomato and 1 tbsp basil",10
327059,"process until smooth , about 7 seconds",11
327059,spoon the filling into a pastry bag with a large star,12
327059,pipe filling into egg white halves,13
327059,garnish with remaining basil,14
